ds,district,cases,RDT Kits,ACT Doses,Bed Nets,Rainfall_mm,Humidity_%,Temperature_C
2024-07-01,Salem,188,188,131,94,53,73,23
2024-08-01,Salem,204,204,142,102,140,85,23
2024-09-01,Salem,186,186,130,93,177,77,20
2024-10-01,Salem,146,146,102,73,106,65,20
2024-11-01,Salem,144,144,100,72,134,53,23
2024-12-01,Salem,85,85,59,42,59,49,21
2022-01-01,Madurai,19,19,13,9,0,40,25
2022-02-01,Madurai,0,0,0,0,0,40,29
2022-03-01,Madurai,38,38,26,19,0,40,27
2022-04-01,Madurai,82,82,57,41,0,55,30
2022-05-01,Madurai,88,88,61,44,6,69,31
2022-06-01,Madurai,114,114,79,57,53,75,23
2022-07-01,Madurai,127,127,88,63,99,78,20
2022-08-01,Madurai,81,81,56,40,95,74,20
2022-09-01,Madurai,85,85,59,42,188,82,20
2022-10-01,Madurai,67,67,46,33,128,68,21
2022-11-01,Madurai,43,43,30,21,93,65,20
2022-12-01,Madurai,9,9,6,4,101,51,27
2023-01-01,Madurai,2,2,1,1,11,42,27
2023-02-01,Madurai,0,0,0,0,0,40,30
2023-03-01,Madurai,52,52,36,26,0,41,30
2023-04-01,Madurai,54,54,37,27,0,40,28
2023-05-01,Madurai,51,51,35,25,0,66,29
2023-06-01,Madurai,98,98,68,49,19,55,23
2023-07-01,Madurai,169,169,118,84,108,74,23
2023-08-01,Madurai,81,81,56,40,130,80,20
2023-09-01,Madurai,106,106,74,53,156,80,20
2023-10-01,Madurai,78,78,54,39,169,65,20
2023-11-01,Madurai,57,57,39,28,96,67,21
2023-12-01,Madurai,38,38,26,19,52,51,28
2024-01-01,Madurai,0,0,0,0,0,40,28
2024-02-01,Madurai,0,0,0,0,0,40,31
2024-03-01,Madurai,0,0,0,0,0,40,28
2024-04-01,Madurai,65,65,45,32,0,48,29
2024-05-01,Madurai,95,95,66,47,0,63,28
2024-06-01,Madurai,120,120,84,60,61,71,29
2024-07-01,Madurai,119,119,83,59,93,73,20
2024-08-01,Madurai,88,88,61,44,118,79,21
2024-09-01,Madurai,92,92,64,46,134,81,21
2024-10-01,Madurai,57,57,39,28,123,72,21
2024-11-01,Madurai,2,2,1,1,98,61,20
2024-12-01,Madurai,12,12,8,6,20,56,27
2022-01-01,Trichy,144,144,100,72,0,40,26
2022-02-01,Trichy,123,123,86,61,0,49,26
2022-03-01,Trichy,150,150,105,75,0,50,27
2022-04-01,Trichy,201,201,140,100,0,41,26
2022-05-01,Trichy,218,218,152,109,0,64,27
2022-06-01,Trichy,213,213,149,106,60,67,27
2022-07-01,Trichy,244,244,170,122,87,80,24
2022-08-01,Trichy,257,257,179,128,102,82,20
2022-09-01,Trichy,231,231,161,115,121,79,20
2022-10-01,Trichy,171,171,119,85,150,71,20
2022-11-01,Trichy,196,196,137,98,91,60,23
2022-12-01,Trichy,132,132,92,66,59,47,24
2023-01-01,Trichy,164,164,114,82,0,40,30
2023-02-01,Trichy,196,196,137,98,0,40,28
2023-03-01,Trichy,161,161,112,80,0,40,31
2023-04-01,Trichy,207,207,144,103,0,53,33
2023-05-01,Trichy,230,230,161,115,0,59,28
2023-06-01,Trichy,214,214,149,107,53,68,28
2023-07-01,Trichy,253,253,177,126,133,71,23
2023-08-01,Trichy,255,255,178,127,119,80,23
2023-09-01,Trichy,220,220,154,110,116,77,20
2023-10-01,Trichy,190,190,133,95,134,61,20
2023-11-01,Trichy,176,176,123,88,89,47,24
2023-12-01,Trichy,150,150,105,75,35,43,26
2024-01-01,Trichy,143,143,100,71,47,44,28
2024-02-01,Trichy,141,141,98,70,0,43,31
2024-03-01,Trichy,156,156,109,78,0,40,31
2024-04-01,Trichy,226,226,158,113,0,47,29
2024-05-01,Trichy,222,222,155,111,19,48,25
2024-06-01,Trichy,233,233,163,116,3,65,23
2024-07-01,Trichy,252,252,176,126,122,76,20
2024-08-01,Trichy,247,247,172,123,157,75,20
2024-09-01,Trichy,238,238,166,119,145,80,20
2024-10-01,Trichy,211,211,147,105,115,69,20
2024-11-01,Trichy,142,142,99,71,68,63,21
2024-12-01,Trichy,124,124,86,62,48,55,20
2022-01-01,Erode,71,71,49,35,0,49,28
2022-02-01,Erode,124,124,86,62,0,40,30
2022-03-01,Erode,132,132,92,66,0,41,30
2022-04-01,Erode,164,164,114,82,0,54,26
2022-05-01,Erode,146,146,102,73,20,65,25
2022-06-01,Erode,175,175,122,87,51,74,28
2022-07-01,Erode,231,231,161,115,92,72,22
2022-08-01,Erode,206,206,144,103,116,90,24
2022-09-01,Erode,213,213,149,106,131,81,21
2022-10-01,Erode,169,169,118,84,161,73,22
2022-11-01,Erode,143,143,100,71,106,51,22
2022-12-01,Erode,97,97,67,48,24,58,28
2023-01-01,Erode,128,128,89,64,5,49,27
2023-02-01,Erode,113,113,79,56,0,41,29
2023-03-01,Erode,104,104,72,52,0,42,33
2023-04-01,Erode,178,178,124,89,0,51,29
2023-05-01,Erode,186,186,130,93,0,59,26
2023-06-01,Erode,187,187,130,93,60,71,21
2023-07-01,Erode,218,218,152,109,119,82,24
2023-08-01,Erode,213,213,149,106,119,74,21
2023-09-01,Erode,198,198,138,99,175,82,20
2023-10-01,Erode,136,136,95,68,130,71,20
2023-11-01,Erode,119,119,83,59,105,57,21
2023-12-01,Erode,115,115,80,57,41,51,25
2024-01-01,Erode,78,78,54,39,0,49,25
2024-02-01,Erode,66,66,46,33,0,40,29
2024-03-01,Erode,128,128,89,64,0,40,30
2024-04-01,Erode,192,192,134,96,0,48,27
2024-05-01,Erode,173,173,121,86,0,67,31
2024-06-01,Erode,206,206,144,103,88,70,28
2024-07-01,Erode,219,219,153,109,102,79,28
2024-08-01,Erode,229,229,160,114,122,84,20
2024-09-01,Erode,181,181,126,90,168,77,20
2024-10-01,Erode,161,161,112,80,143,72,20
2024-11-01,Erode,144,144,100,72,80,52,22
2024-12-01,Erode,110,110,77,55,36,54,22
2022-01-01,Vellore,44,44,30,22,0,44,25
2022-02-01,Vellore,78,78,54,39,0,40,25
2022-03-01,Vellore,85,85,59,42,0,42,29
2022-04-01,Vellore,120,120,84,60,0,44,26
2022-05-01,Vellore,124,124,86,62,5,66,26
2022-06-01,Vellore,117,117,81,58,15,65,23
2022-07-01,Vellore,167,167,116,83,100,75,24
2022-08-01,Vellore,154,154,107,77,119,82,20
2022-09-01,Vellore,153,153,107,76,152,76,23
2022-10-01,Vellore,103,103,72,51,177,68,20
2022-11-01,Vellore,87,87,60,43,78,56,23
2022-12-01,Vellore,75,75,52,37,37,54,27
2023-01-01,Vellore,84,84,58,42,10,49,23
2023-02-01,Vellore,57,57,39,28,0,40,28
2023-03-01,Vellore,82,82,57,41,0,41,30
2023-04-01,Vellore,111,111,77,55,0,50,30
2023-05-01,Vellore,169,169,118,84,32,61,28
2023-06-01,Vellore,144,144,100,72,48,74,26
2023-07-01,Vellore,180,180,125,90,117,79,24
2023-08-01,Vellore,173,173,121,86,129,81,20
2023-09-01,Vellore,153,153,107,76,77,68,20
2023-10-01,Vellore,125,125,87,62,113,66,23
2023-11-01,Vellore,76,76,53,38,144,59,23
2023-12-01,Vellore,96,96,67,48,52,44,24
2024-01-01,Vellore,55,55,38,27,0,41,26
2024-02-01,Vellore,82,82,57,41,0,40,29
2024-03-01,Vellore,90,90,62,45,0,40,27
2024-04-01,Vellore,138,138,96,69,0,42,30
2024-05-01,Vellore,155,155,108,77,0,61,28
2024-06-01,Vellore,175,175,122,87,62,62,25
2024-07-01,Vellore,169,169,118,84,90,81,25
2024-08-01,Vellore,203,203,142,101,162,79,21
2024-09-01,Vellore,161,161,112,80,152,77,21
2024-10-01,Vellore,114,114,79,57,122,67,21
2024-11-01,Vellore,86,86,60,43,106,63,21
2024-12-01,Vellore,79,79,55,39,57,43,27
2022-01-01,Tirunelveli,52,52,36,26,0,40,25
2022-02-01,Tirunelveli,72,72,50,36,0,40,30
2022-03-01,Tirunelveli,99,99,69,49,0,44,31
2022-04-01,Tirunelveli,80,80,56,40,0,40,29
2022-05-01,Tirunelveli,152,152,106,76,20,65,27
2022-06-01,Tirunelveli,164,164,114,82,59,67,24
2022-07-01,Tirunelveli,202,202,141,101,88,81,23
2022-08-01,Tirunelveli,155,155,108,77,156,83,20
2022-09-01,Tirunelveli,137,137,95,68,132,74,21
2022-10-01,Tirunelveli,103,103,72,51,145,63,20
2022-11-01,Tirunelveli,95,95,66,47,148,53,25
2022-12-01,Tirunelveli,74,74,51,37,58,50,25
2023-01-01,Tirunelveli,59,59,41,29,29,40,29
2023-02-01,Tirunelveli,58,58,40,29,0,40,30
2023-03-01,Tirunelveli,121,121,84,60,0,41,27
2023-04-01,Tirunelveli,118,118,82,59,0,45,29
2023-05-01,Tirunelveli,179,179,125,89,56,57,30
2023-06-01,Tirunelveli,179,179,125,89,46,72,25
2023-07-01,Tirunelveli,185,185,129,92,91,70,20
2023-08-01,Tirunelveli,188,188,131,94,131,77,20
2023-09-01,Tirunelveli,168,168,117,84,153,74,22
2023-10-01,Tirunelveli,154,154,107,77,146,74,23
2023-11-01,Tirunelveli,115,115,80,57,112,62,23
2023-12-01,Tirunelveli,49,49,34,24,64,43,23
2024-01-01,Tirunelveli,89,89,62,44,16,50,26
2024-02-01,Tirunelveli,47,47,32,23,0,40,29
2024-03-01,Tirunelveli,115,115,80,57,0,44,28
2024-04-01,Tirunelveli,132,132,92,66,0,46,28
2024-05-01,Tirunelveli,149,149,104,74,0,68,27
2024-06-01,Tirunelveli,170,170,118,85,8,65,24
2024-07-01,Tirunelveli,169,169,118,84,127,76,25
2024-08-01,Tirunelveli,176,176,123,88,137,79,20
2024-09-01,Tirunelveli,187,187,130,93,103,67,20
2024-10-01,Tirunelveli,123,123,86,61,150,72,20
2024-11-01,Tirunelveli,113,113,79,56,120,60,24
2024-12-01,Tirunelveli,76,76,53,38,38,53,25
2022-01-01,Thanjavur,38,38,26,19,0,40,25
2022-02-01,Thanjavur,9,9,6,4,0,40,27
2022-03-01,Thanjavur,21,21,14,10,0,51,29
2022-04-01,Thanjavur,61,61,42,30,0,40,29
2022-05-01,Thanjavur,79,79,55,39,0,51,25
2022-06-01,Thanjavur,123,123,86,61,57,72,22
2022-07-01,Thanjavur,146,146,102,73,83,80,22
2022-08-01,Thanjavur,93,93,65,46,130,81,21
2022-09-01,Thanjavur,96,96,67,48,180,82,20
2022-10-01,Thanjavur,84,84,58,42,175,79,20
2022-11-01,Thanjavur,20,20,14,10,129,54,20
2022-12-01,Thanjavur,7,7,4,3,58,49,23
2023-01-01,Thanjavur,0,0,0,0,0,40,32
2023-02-01,Thanjavur,22,22,15,11,0,40,28
2023-03-01,Thanjavur,24,24,16,12,0,40,26
2023-04-01,Thanjavur,24,24,16,12,0,56,29
2023-05-01,Thanjavur,124,124,86,62,8,63,25
2023-06-01,Thanjavur,131,131,91,65,64,67,26
2023-07-01,Thanjavur,140,140,98,70,89,71,20
2023-08-01,Thanjavur,122,122,85,61,143,76,20
2023-09-01,Thanjavur,110,110,77,55,162,85,22
2023-10-01,Thanjavur,48,48,33,24,170,67,22
2023-11-01,Thanjavur,40,40,28,20,91,50,22
2023-12-01,Thanjavur,0,0,0,0,69,57,23
2024-01-01,Thanjavur,15,15,10,7,0,40,29
2024-02-01,Thanjavur,16,16,11,8,0,40,31
2024-03-01,Thanjavur,40,40,28,20,0,40,29
2024-04-01,Thanjavur,66,66,46,33,0,53,30
2024-05-01,Thanjavur,110,110,77,55,30,67,26
2024-06-01,Thanjavur,128,128,89,64,37,70,23
2024-07-01,Thanjavur,161,161,112,80,107,76,24
2024-08-01,Thanjavur,77,77,53,38,96,83,20
2024-09-01,Thanjavur,104,104,72,52,123,77,24
2024-10-01,Thanjavur,85,85,59,42,139,67,20
2024-11-01,Thanjavur,0,0,0,0,105,64,20
2024-12-01,Thanjavur,3,3,2,1,26,45,25
2022-01-01,Dindigul,78,78,54,39,12,46,26
2022-02-01,Dindigul,78,78,54,39,0,46,23
2022-03-01,Dindigul,143,143,100,71,0,46,28
2022-04-01,Dindigul,188,188,131,94,0,59,28
2022-05-01,Dindigul,217,217,151,108,0,65,25
2022-06-01,Dindigul,220,220,154,110,49,62,25
2022-07-01,Dindigul,259,259,181,129,105,69,22
2022-08-01,Dindigul,246,246,172,123,99,74,22
2022-09-01,Dindigul,215,215,150,107,158,86,20
2022-10-01,Dindigul,193,193,135,96,190,68,20
2022-11-01,Dindigul,158,158,110,79,108,57,20
2022-12-01,Dindigul,174,174,121,87,56,46,26
2023-01-01,Dindigul,117,117,81,58,0,45,24
2023-02-01,Dindigul,135,135,94,67,1,42,28
2023-03-01,Dindigul,139,139,97,69,0,41,29
2023-04-01,Dindigul,198,198,138,99,0,54,28
2023-05-01,Dindigul,217,217,151,108,0,66,29
2023-06-01,Dindigul,251,251,175,125,19,74,25
2023-07-01,Dindigul,207,207,144,103,99,79,23
2023-08-01,Dindigul,235,235,164,117,142,87,23
2023-09-01,Dindigul,152,152,106,76,143,76,20
2023-10-01,Dindigul,181,181,126,90,161,64,21
2023-11-01,Dindigul,131,131,91,65,86,67,21
2023-12-01,Dindigul,137,137,95,68,12,59,26
2024-01-01,Dindigul,116,116,81,58,11,40,29
2024-02-01,Dindigul,121,121,84,60,0,40,28
2024-03-01,Dindigul,163,163,114,81,0,45,29
2024-04-01,Dindigul,190,190,133,95,0,61,26
2024-05-01,Dindigul,235,235,164,117,27,55,31
2024-06-01,Dindigul,251,251,175,125,69,70,24
2024-07-01,Dindigul,235,235,164,117,107,84,22
2024-08-01,Dindigul,213,213,149,106,153,84,21
2024-09-01,Dindigul,224,224,156,112,144,72,20
2024-10-01,Dindigul,147,147,102,73,141,69,20
2024-11-01,Dindigul,90,90,62,45,75,65,21
2024-12-01,Dindigul,135,135,94,67,22,57,24
2022-01-01,Kanchipuram,123,123,86,61,30,41,26
2022-02-01,Kanchipuram,78,78,54,39,0,40,28
2022-03-01,Kanchipuram,136,136,95,68,0,54,30
2022-04-01,Kanchipuram,172,172,120,86,0,54,27
2022-05-01,Kanchipuram,149,149,104,74,9,64,27
2022-06-01,Kanchipuram,163,163,114,81,22,62,21
2022-07-01,Kanchipuram,199,199,139,99,122,77,20
2022-08-01,Kanchipuram,185,185,129,92,133,90,20
2022-09-01,Kanchipuram,159,159,111,79,184,79,21
2022-10-01,Kanchipuram,139,139,97,69,143,73,20
2022-11-01,Kanchipuram,124,124,86,62,72,61,22
2022-12-01,Kanchipuram,72,72,50,36,49,46,22
2023-01-01,Kanchipuram,69,69,48,34,0,44,25
2023-02-01,Kanchipuram,99,99,69,49,0,40,28
2023-03-01,Kanchipuram,133,133,93,66,0,41,30
2023-04-01,Kanchipuram,94,94,65,47,0,59,29
2023-05-01,Kanchipuram,168,168,117,84,10,64,23
2023-06-01,Kanchipuram,155,155,108,77,54,66,27
2023-07-01,Kanchipuram,190,190,133,95,61,70,20
2023-08-01,Kanchipuram,184,184,128,92,132,77,22
2023-09-01,Kanchipuram,190,190,133,95,146,66,21
2023-10-01,Kanchipuram,148,148,103,74,142,74,20
2023-11-01,Kanchipuram,147,147,102,73,80,63,20
2023-12-01,Kanchipuram,66,66,46,33,80,48,26
2024-01-01,Kanchipuram,81,81,56,40,0,49,27
2024-02-01,Kanchipuram,49,49,34,24,0,42,30
2024-03-01,Kanchipuram,75,75,52,37,0,40,29
2024-04-01,Kanchipuram,109,109,76,54,0,46,30
2024-05-01,Kanchipuram,183,183,128,91,0,58,27
2024-06-01,Kanchipuram,172,172,120,86,27,65,23
2024-07-01,Kanchipuram,173,173,121,86,103,80,20
2024-08-01,Kanchipuram,189,189,132,94,132,81,20
2024-09-01,Kanchipuram,137,137,95,68,124,77,22
2024-10-01,Kanchipuram,92,92,64,46,143,75,20
2024-11-01,Kanchipuram,118,118,82,59,85,59,20
2024-12-01,Kanchipuram,38,38,26,19,68,45,24
2022-01-01,Thoothukudi,0,0,0,0,0,41,26
2022-02-01,Thoothukudi,3,3,2,1,0,41,29
2022-03-01,Thoothukudi,49,49,34,24,0,42,32
2022-04-01,Thoothukudi,73,73,51,36,0,48,32
2022-05-01,Thoothukudi,88,88,61,44,3,58,26
2022-06-01,Thoothukudi,105,105,73,52,44,69,25
2022-07-01,Thoothukudi,94,94,65,47,110,91,20
2022-08-01,Thoothukudi,106,106,74,53,121,82,20
2022-09-01,Thoothukudi,93,93,65,46,173,78,22
2022-10-01,Thoothukudi,1,1,0,0,168,71,22
2022-11-01,Thoothukudi,0,0,0,0,83,60,22
2022-12-01,Thoothukudi,1,1,0,0,71,41,26
2023-01-01,Thoothukudi,0,0,0,0,0,40,28
2023-02-01,Thoothukudi,0,0,0,0,0,40,29
2023-03-01,Thoothukudi,15,15,10,7,0,41,28
2023-04-01,Thoothukudi,37,37,25,18,0,52,28
2023-05-01,Thoothukudi,73,73,51,36,0,61,23
2023-06-01,Thoothukudi,114,114,79,57,52,81,22
2023-07-01,Thoothukudi,105,105,73,52,135,83,21
2023-08-01,Thoothukudi,104,104,72,52,136,81,20
2023-09-01,Thoothukudi,76,76,53,38,118,77,20
2023-10-01,Thoothukudi,43,43,30,21,104,74,21
2023-11-01,Thoothukudi,3,3,2,1,94,52,20
2023-12-01,Thoothukudi,0,0,0,0,74,46,26
2024-01-01,Thoothukudi,0,0,0,0,4,41,29
2024-02-01,Thoothukudi,0,0,0,0,0,40,28
2024-03-01,Thoothukudi,0,0,0,0,0,40,34
2024-04-01,Thoothukudi,13,13,9,6,0,44,28
2024-05-01,Thoothukudi,80,80,56,40,0,61,31
2024-06-01,Thoothukudi,90,90,62,45,55,75,24
2024-07-01,Thoothukudi,96,96,67,48,54,80,22
2024-08-01,Thoothukudi,79,79,55,39,139,77,20
2024-09-01,Thoothukudi,90,90,62,45,123,82,20
2024-10-01,Thoothukudi,34,34,23,17,175,75,20
2024-11-01,Thoothukudi,0,0,0,0,89,60,22
2024-12-01,Thoothukudi,0,0,0,0,49,48,22
2022-01-01,Nagapattinam,64,64,44,32,0,41,25
2022-02-01,Nagapattinam,56,56,39,28,0,47,30
2022-03-01,Nagapattinam,49,49,34,24,0,40,28
2022-04-01,Nagapattinam,112,112,78,56,0,54,27
2022-05-01,Nagapattinam,123,123,86,61,0,57,29
2022-06-01,Nagapattinam,170,170,118,85,84,81,22
2022-07-01,Nagapattinam,167,167,116,83,76,73,21
2022-08-01,Nagapattinam,136,136,95,68,115,79,20
2022-09-01,Nagapattinam,152,152,106,76,131,91,20
2022-10-01,Nagapattinam,107,107,74,53,110,78,22
2022-11-01,Nagapattinam,81,81,56,40,73,61,20
2022-12-01,Nagapattinam,83,83,58,41,66,50,20
2023-01-01,Nagapattinam,26,26,18,13,13,48,29
2023-02-01,Nagapattinam,22,22,15,11,0,45,26
2023-03-01,Nagapattinam,75,75,52,37,0,41,26
2023-04-01,Nagapattinam,99,99,69,49,0,49,28
2023-05-01,Nagapattinam,127,127,88,63,0,62,26
2023-06-01,Nagapattinam,149,149,104,74,51,60,25
2023-07-01,Nagapattinam,165,165,115,82,100,82,20
2023-08-01,Nagapattinam,118,118,82,59,142,79,21
2023-09-01,Nagapattinam,126,126,88,63,163,81,20
2023-10-01,Nagapattinam,100,100,70,50,94,73,23
2023-11-01,Nagapattinam,88,88,61,44,82,63,24
2023-12-01,Nagapattinam,85,85,59,42,32,48,26
2024-01-01,Nagapattinam,47,47,32,23,0,44,28
2024-02-01,Nagapattinam,55,55,38,27,0,40,32
2024-03-01,Nagapattinam,57,57,39,28,0,42,31
2024-04-01,Nagapattinam,76,76,53,38,0,40,29
2024-05-01,Nagapattinam,113,113,79,56,0,63,26
2024-06-01,Nagapattinam,162,162,113,81,44,73,25
2024-07-01,Nagapattinam,152,152,106,76,96,82,23
2024-08-01,Nagapattinam,130,130,91,65,149,74,23
2024-09-01,Nagapattinam,156,156,109,78,155,78,20
2024-10-01,Nagapattinam,119,119,83,59,129,71,22
2024-11-01,Nagapattinam,64,64,44,32,87,54,20
2024-12-01,Nagapattinam,17,17,11,8,64,59,27
2022-01-01,Krishnagiri,18,18,12,9,14,49,26
2022-02-01,Krishnagiri,61,61,42,30,0,41,27
2022-03-01,Krishnagiri,84,84,58,42,0,45,32
2022-04-01,Krishnagiri,95,95,66,47,0,40,28
2022-05-01,Krishnagiri,129,129,90,64,0,62,26
2022-06-01,Krishnagiri,141,141,98,70,38,75,26
2022-07-01,Krishnagiri,168,168,117,84,112,71,22
2022-08-01,Krishnagiri,165,165,115,82,127,82,20
2022-09-01,Krishnagiri,151,151,105,75,161,62,22
2022-10-01,Krishnagiri,50,50,35,25,124,75,20
2022-11-01,Krishnagiri,51,51,35,25,78,65,20
2022-12-01,Krishnagiri,81,81,56,40,48,44,23
2023-01-01,Krishnagiri,30,30,21,15,17,46,24
2023-02-01,Krishnagiri,50,50,35,25,0,46,26
2023-03-01,Krishnagiri,113,113,79,56,0,40,28
2023-04-01,Krishnagiri,94,94,65,47,0,50,26
2023-05-01,Krishnagiri,97,97,67,48,0,50,25
2023-06-01,Krishnagiri,144,144,100,72,32,80,25
2023-07-01,Krishnagiri,175,175,122,87,64,74,22
2023-08-01,Krishnagiri,142,142,99,71,154,73,20
2023-09-01,Krishnagiri,129,129,90,64,153,74,20
2023-10-01,Krishnagiri,106,106,74,53,121,72,21
2023-11-01,Krishnagiri,79,79,55,39,91,63,22
2023-12-01,Krishnagiri,52,52,36,26,52,58,22
2024-01-01,Krishnagiri,66,66,46,33,0,43,30
2024-02-01,Krishnagiri,68,68,47,34,0,40,29
2024-03-01,Krishnagiri,75,75,52,37,0,41,30
2024-04-01,Krishnagiri,95,95,66,47,0,43,30
2024-05-01,Krishnagiri,151,151,105,75,4,64,27
2024-06-01,Krishnagiri,170,170,118,85,56,69,23
2024-07-01,Krishnagiri,215,215,150,107,90,73,23
2024-08-01,Krishnagiri,167,167,116,83,108,85,20
2024-09-01,Krishnagiri,118,118,82,59,173,80,20
2024-10-01,Krishnagiri,146,146,102,73,149,69,23
2024-11-01,Krishnagiri,84,84,58,42,99,56,23
2024-12-01,Krishnagiri,68,68,47,34,50,46,25
2022-01-01,Dharmapuri,93,93,65,46,0,45,22
2022-02-01,Dharmapuri,132,132,92,66,0,46,28
2022-03-01,Dharmapuri,163,163,114,81,0,43,31
2022-04-01,Dharmapuri,170,170,118,85,0,45,29
